FULL NAME,TEAM,POS,Ortg,DRtg
Adam Mokoka,Chi,G,114.2,101.5
Malik Monk,Cha,G,102.3,110.3
Matt Mooney,Cle,G,0,0
E'Twaun Moore,Nor,G,104,109.2
Ja Morant,Mem,G,109.9,111.2
Juwan Morgan,Uta,F,107.7,102.5
Marcus Morris Sr.,Nyk,F,113.1,107.3
Marcus Morris Sr.,Lac,F,95.4,102.8
Markieff Morris,Det,F,104.2,104.4
Markieff Morris,Lal,F,107.7,100.7
Monte Morris,Den,G,117.7,110.5
Johnathan Motley,Lac,F,0,0
Emmanuel Mudiay,Uta,G,105,103.5
Mychal Mulder,Gol,G,106.5,108.2
Dejounte Murray,San,G,107.7,103.9
Jamal Murray,Den,G,111.2,109.1
Dzanan Musa,Bro,G,93.1,105.9
Mike Muscala,Okc,F,113.7,101.7
Svi Mykhailiuk,Det,G,110.5,110.6
Abdel Nader,Okc,F,107.6,104.3
Larry Nance Jr.,Cle,F,120.6,109.3
Shabazz Napier,Min,G,107.8,108.7
Shabazz Napier,Was,G,107.2,110.8
Raul Neto,Phi,G,104.2,105.3
Malik Newman,Cle,G,0,0
Georges Niang,Uta,F,115.9,104.3
Nerlens Noel,Okc,C,131.7,94.3
Zach Norvell Jr.,Lal,G,0,0
Zach Norvell Jr.,Gol,G,78,103.8
Jaylen Nowell,Min,G,101.5,114.4
Frank Ntilikina,Nyk,G,100.6,104.5
Kendrick Nunn,Mia,G,106.1,106.5
David Nwaba,Bro,G,119.8,98.9
Semi Ojeleye,Bos,F,122.3,104.9
Jahlil Okafor,Nor,C,115.3,100.5
Elie Okobo,Pho,F,107.8,107.9
Josh Okogie,Min,G,107.6,106.8
KZ Okpala,Mia,F,110.2,101.2
Victor Oladipo,Ind,G,90.5,108.8
Kelly Olynyk,Mia,C,118.5,96.5
Royce O'Neale,Uta,F,119,101.1
Miye Oni,Uta,G,0,0
Kyle O'Quinn,Phi,C,112.4,95.5
Cedi Osman,Cle,F,107,110.6
Kelly Oubre Jr.,Pho,F,108.7,103.6
Tariq Owens,Pho,F,94.7,107.8
Jeremy Pargo,Gol,G,102.6,100.9
Jabari Parker,Atl,F,105.9,105.5
Jabari Parker,Sac,F,80.7,106.4
Chandler Parsons,Atl,F,76.7,111.6
Eric Paschall,Gol,F,108.6,110.3
Anzejs Pasecniks,Was,C,110,103.5
