FULL NAME,TEAM,POS,PPG,RPG
Allonzo Trier,Nyk,G,6.5,1.3
P.J. Tucker,Hou,F,7.3,6.8
Rayjon Tucker,Uta,G,1.4,0.9
Evan Turner,Atl,G,3.3,2
Myles Turner,Ind,C,11.6,6.4
Jarrod Uthoff,Mem,F,0,0
Jonas Valanciunas,Mem,C,14.5,11.1
Denzel Valentine,Chi,G,6.3,2
Jarred Vanderbilt,Den,F,1.1,0.9
Jarred Vanderbilt,Min,F,1,0.5
Fred VanVleet,Tor,G,17.6,3.8
Gabe Vincent,Mia,G,2.4,0.6
Noah Vonleh,Min,F,4.1,4
Noah Vonleh,Den,F,2.7,2
Nikola Vucevic,Orl,C,19.4,10.9
Dean Wade,Cle,F,1.7,1.6
Moritz Wagner,Was,F,9.6,5.3
Dion Waiters,Mia,G,9.3,3.7
Lonnie Walker IV,San,G,5.7,2.2
Kemba Walker,Bos,G,21.7,4.1
Tyrone Wallace,Atl,G,2.9,1.6
Derrick Walton Jr.,Lac,G,2.2,0.7
Derrick Walton Jr.,Det,G,1,0.3
Brad Wanamaker,Bos,G,6.6,2
T.J. Warren,Ind,F,18.7,3.9
P.J. Washington,Cha,F,12.2,5.5
Yuta Watanabe,Mem,G,1.9,1.1
Tremont Waters,Bos,G,3.3,0.9
Paul Watson,Atl,G,0,1
Paul Watson,Tor,G,0.3,0.7
Quinndary Weatherspoon,San,G,0,0
Russell Westbrook,Hou,G,27.5,8.1
Coby White,Chi,G,12.8,3.5
Derrick White,San,G,10.1,3.1
Hassan Whiteside,Por,C,16.1,14.2
Andrew Wiggins,Min,F,22.4,5.2
Andrew Wiggins,Gol,F,20.2,4.9
Robert Williams III,Bos,C,4.3,4.5
Nigel Williams-Goss,Uta,G,0.4,0.6
Grant Williams,Bos,F,3.6,2.7
Johnathan Williams,Was,F,3.2,3.9
Kenrich Williams,Nor,G,3.8,5.1
Lou Williams,Lac,G,18.8,3.1
Marvin Williams,Cha,F,6.7,2.7
Marvin Williams,Mil,F,3.8,3.3
Zion Williamson,Nor,F,24,6.8
D.J. Wilson,Mil,F,3,2
Justise Winslow,Mia,G,11.3,6.6
Christian Wood,Det,F,12.3,6.2
Delon Wright,Dal,G,7.2,3.9
Justin Wright-Foreman,Uta,G,0,0
Thaddeus Young,Chi,F,10.3,4.9
Trae Young,Atl,G,29.6,4.3
Cody Zeller,Cha,C,11,7.1
Ante Zizic,Cle,C,4.6,3.1
Ivica Zubac,Lac,C,8.1,7.2
